id,name,type,start,year,exit,sex,age,category,winner,instagram
SIDM,Stars in der Manege,2,99,99,99,99,99,3,99,99
SS,Selling Sunset,2,99,99,99,99,99,2,99,99
STV,Stern TV,2,99,99,99,99,99,4,99,99
SYS,Style your Star,2,99,99,99,99,99,8,99,99
taff,taff,2,99,99,99,99,99,4,99,99
TBL,The Biggest Loser,2,99,99,99,99,99,7,99,99
TFG,Taeglich frisch geroestet,2,99,99,99,99,99,8,99,99
TI,Temptation Island,2,99,99,99,99,99,1,99,99
TMO,Take me out,2,99,99,99,99,99,1,99,99
TSB,Topf Sucht Burdecki,2,99,99,99,99,99,1,99,99
TW,The Wheel,2,99,99,99,99,99,6,99,99
VSS,Verstehen Sie Spaß,2,99,99,99,99,99,8,99,99
WWM,Wer wird Millionaer,2,99,99,99,99,99,6,99,99
ZUDS,Zeig uns deine Stimme,2,99,99,99,99,99,6,99,99
